"","COYNAME","REGNO","ACCTYPEDESC","COYDESC","FYEAR","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT"
"37","HYFLUX LTD","200002722Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,1457109000,825548000,631561000,800799000,226988000,573811000,656310000,0,604740000,20443000,35588000,3.64,45.04,54.96
"38","ICONIC HOLDINGS LIMITED","199904837M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,23954787,18421793,5532994,2011751,2011751,0,21943036,0,3720865,0,18222171,9.16,91.6,8.4
"39","INTRACO LIMITED","196800526Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,85189000,36836000,48353000,10369000,10369000,0,74820000,0,81874000,-1223000,-5831000,3.55,87.83,12.17
"40","CEDAR STRATEGIC HOLDINGS LTD.","198003839Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,143845000,143749000,96000,2948000,2948000,0,140897000,0,402703000,-261806000,0,48.76,97.95,2.05
"41","JAPAN FOODS HOLDING LTD.","200722314M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,8063000,3085000,4978000,1081000,1081000,0,6982000,1,6603000,0,379000,2.85,86.59,13.41
"42","JUBILEE INDUSTRIES HOLDINGS LTD.","200904797H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,23876341,2359629,21516712,237986,237986,0,23638355,0,24711184,0,-1072829,9.91,99,1
"43","JUKEN TECHNOLOGY LIMITED","199200539Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,33440000,17387000,16053000,10420000,7832000,2588000,23020000,0,19098000,2320000,1624000,2.22,68.84,31.16
"44","RAFFLES UNITED HOLDINGS LTD.","197302030N","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,105935000,74324000,31611000,46848000,27094000,19754000,59087000,0,31658000,6229000,21200000,2.74,55.78,44.22
"45","MAYBANK KIM ENG HOLDINGS LIMITED","198900204D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,826616000,304426000,522190000,337129000,287129000,5e+07,489487000,0,244451000,50440000,227933000,1.06,59.22,40.78
"46","KINERGY CORPORATION LTD.","198800021D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,66472000,47383000,19089000,35550000,33242000,2308000,30922000,0,29447000,47000,1453000,1.43,46.52,53.48
"47","KINGSMEN CREATIVES LTD.","200210790Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,33400000,6695000,26705000,3343000,3321000,22000,30057000,2,23266000,325000,7701000,2.02,89.99,10.01
