COYNAME,REGNO,ACCTYPEDESC,COYDESC,FYEAR,REVENUE_AMT,PBFTAX,LBFTAX,PAFTAX,LAFTAX,TTASSET,TTCRASSET,TTNCRASSET,TTLIAB,TTCRLIAB,TTNCRLIAB,TTEQUITY,PUCAP,SHARECAP,OTHERRESERVESTT,RETAINEARN,AR_NETPROFITSALES,AR_RETINVESTMENT,AR_RETSHAREFUNDS,AR_TASSETSTO,AR_CURRWCAP,AR_PROPRATIO,AR_TOTALDEBT
STARHUB LTD.,199802208C,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,"932,240,000.00","376,799,000.00",,"333,014,000.00",,"2,639,159,000.00","983,383,000.00","1,655,776,000.00","1,397,394,000.00","736,243,000.00","661,151,000.00","1,241,765,000.00",0.00,"257,514,000.00","279,205,000.00","705,046,000.00",35.72,12.62,26.82,0.35,1.34,47.05,52.95
SUPER GROUP LTD.,199101696K,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"181,368,000.00","23,008,000.00","158,360,000.00","18,682,000.00","9,205,000.00","9,477,000.00","162,686,000.00",0.00,"142,517,000.00","10,755,000.00","11,227,000.00",0.00,0.00,0.00,,2.50,89.70,10.30
TEE INTERNATIONAL LIMITED,200007107D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"129,522,776.00","81,044,258.00","48,478,518.00","93,956,990.00","80,873,497.00","13,083,493.00","35,565,786.00",0.00,"27,282,616.00","1,101,532.00","7,181,638.00",0.00,0.00,0.00,,1.00,27.46,72.54
TEHO INTERNATIONAL INC LTD.,200811433K,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"18,276,097.00","5,437,063.00","12,839,034.00","76,575.00","76,575.00",0.00,"18,199,522.00",0.00,"15,480,668.00",0.00,"2,718,854.00",0.00,0.00,0.00,,71.00,99.58,0.42
TIONG WOON CORPORATION HOLDING LTD,199705837C,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"82,264,728.00","66,073.00","82,198,655.00","171,940.00","171,940.00",0.00,"82,092,788.00",0.00,"77,302,534.00",0.00,"4,790,254.00",0.00,0.00,0.00,,0.38,99.79,0.21
TMC EDUCATION CORPORATION LTD.,198102945K,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"19,150,016.00","4,063,298.00","15,086,718.00","5,362,017.00","5,254,993.00","107,024.00","13,787,999.00",0.00,"11,477,119.00","502,693.00","1,808,187.00",0.00,0.00,0.00,,0.77,72.00,28.00
OLS ENTERPRISE LTD.,196800320E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"168,873,000.00","5,173,000.00","163,700,000.00","1,008,000.00","1,008,000.00",0.00,"167,865,000.00",0.00,"450,605,000.00","9,264,000.00","-292,004,000.00",0.00,0.00,0.00,,5.13,99.40,0.60
UNITED INTERNATIONAL SECURITIES LTD,196900634H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"348,679,000.00","12,778,000.00","335,901,000.00","5,797,000.00","3,039,000.00","2,758,000.00","342,882,000.00",0.00,"196,592,000.00","34,534,000.00","111,756,000.00",0.00,0.00,0.00,,4.20,98.34,1.66
VIZ BRANZ PTE. LTD.,199401631K,Consolidated,LIMITED PRIVATE COMPANY,2010,,,,,,"71,611,000.00","36,755,000.00","34,856,000.00","13,352,000.00","13,348,000.00","4,000.00","58,259,000.00",0.00,"34,179,000.00","398,000.00","24,375,000.00",0.00,0.00,0.00,,2.75,81.35,18.65
3CNERGY LIMITED,197300314D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"5,920,000.00","2,820,000.00","3,100,000.00","1,027,000.00","856,000.00","171,000.00","4,893,000.00",0.00,"12,463,000.00","2,882,000.00","-10,452,000.00",0.00,0.00,0.00,,3.29,82.65,17.35
ISR CAPITAL LIMITED,200104762G,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"16,259,396.00","3,502,992.00","12,756,404.00","421,585.00","387,398.00","34,187.00","15,837,811.00",0.00,"16,041,353.00",0.00,"-203,542.00",0.00,0.00,0.00,,9.04,97.41,2.59
WE HOLDINGS LTD.,198600445D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"29,086,000.00","16,802,000.00","12,284,000.00","17,795,000.00","8,820,000.00","8,975,000.00","11,291,000.00",0.00,"37,871,000.00",0.00,"-26,580,000.00",0.00,0.00,0.00,,1.90,38.82,61.18
E2-CAPITAL HOLDINGS LIMITED,200814792H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"258,315,000.00","63,090,000.00","195,225,000.00","58,000.00","58,000.00",0.00,"258,257,000.00",1.00,"231,885,000.00","4,771,000.00","21,601,000.00",0.00,0.00,0.00,,"1,087.76",99.98,0.02
WHEELOCK PROPERTIES (SINGAPORE) LIMITED,197201797H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"2,071,877,000.00","974,463,000.00","1,097,414,000.00","411,939,000.00","396,132,000.00","15,807,000.00","1,659,938,000.00",0.00,"1,055,901,000.00",0.00,"604,037,000.00",0.00,0.00,0.00,,2.46,80.12,19.88
YONGMAO HOLDINGS LIMITED,200510649K,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"303,981,000.00","51,669,000.00","252,312,000.00","2,819,000.00","2,819,000.00",0.00,"301,162,000.00",2.00,"312,484,000.00","-6,230,000.00","-5,092,000.00",0.00,0.00,0.00,,18.33,99.07,0.93
YONGNAM HOLDINGS LIMITED,199407612N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"120,479,000.00","116,000.00","120,363,000.00","3,426,000.00","3,426,000.00",0.00,"117,053,000.00",0.00,"94,493,000.00","23,395,000.00","-835,000.00",0.00,0.00,0.00,,0.03,97.16,2.84
GREEN BUILD TECHNOLOGY LIMITED,200401338W,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"99,563,000.00","12,087,000.00","87,476,000.00","2,875,000.00","2,692,000.00","183,000.00","96,688,000.00",2.00,"113,179,000.00","-2,164,000.00","-14,327,000.00",0.00,0.00,0.00,,4.49,97.11,2.89
ZAGRO ASIA LIMITED,199406784D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"33,241,000.00","11,943,000.00","21,298,000.00","404,000.00","404,000.00",0.00,"32,837,000.00",0.00,"30,004,000.00","4,000.00","2,829,000.00",0.00,0.00,0.00,,29.56,98.78,1.22
SINGAPORE PENGJIE INTERNATIONAL TRADING COMPANY LIMITED,200611975H,Company,PUBLIC COMPANY LIMITED BY SHARES,2010,0.00,"-259,911,000.00",,"-259,911,000.00",,"23,503,000.00","23,470,000.00","33,000.00","11,390,000.00","11,390,000.00",0.00,"12,113,000.00",1.00,"271,023,000.00",0.00,"-258,910,000.00",0.00,"-1,105.86","-2,145.72",0.00,2.06,51.54,48.46
ZIWO HOLDINGS LTD.,200800853Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"165,450,000.00","25,272,000.00","140,178,000.00","12,113,000.00","10,873,000.00","1,240,000.00","153,337,000.00",2.00,"149,593,000.00",0.00,"3,744,000.00",0.00,0.00,0.00,,2.32,92.68,7.32
CHINA ANGEL FOOD PTE. LTD.,200604814W,Company,LIMITED PRIVATE COMPANY,2011,"426,255.00","-3,056,730.00",,"-3,066,730.00",,"26,164,083.00","806,089.00","25,357,994.00","362,178.00","362,178.00",0.00,"25,801,905.00",1.00,"30,555,320.00","177,790.00","-4,931,205.00",-719.46,-11.72,-11.89,0.02,2.23,98.62,1.38
CHINA SUNSINE CHEMICAL HOLDINGS LTD.,200609470N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"401,733,000.00","42,228,000.00","359,505,000.00","7,921,000.00","7,921,000.00",0.00,"393,812,000.00","1,000.00","313,471,000.00","-5,872,000.00","100,748,000.00",0.00,0.00,0.00,,5.33,98.03,1.97
MAGNUS ENERGY GROUP LTD.,198301375M,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"32,871,799.00","1,083,116.00","31,788,683.00","2,352,150.00","2,240,972.00","111,178.00","30,519,649.00",0.00,"116,501,816.00","2,226,865.00","-88,209,032.00",0.00,0.00,0.00,,0.48,92.84,7.16
MDR LIMITED,200009059G,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"33,217,000.00","18,127,000.00","15,090,000.00","4,960,000.00","4,532,000.00","428,000.00","28,257,000.00",0.00,"122,117,000.00","1,612,000.00","-95,472,000.00",0.00,0.00,0.00,,4.00,85.07,14.93
