COYNAME,REGNO,ACCTYPEDESC,COYDESC,FYEAR,REVENUE_AMT,PBFTAX,LBFTAX,PAFTAX,LAFTAX,TTASSET,TTCRASSET,TTNCRASSET,TTLIAB,TTCRLIAB,TTNCRLIAB,TTEQUITY,PUCAP,SHARECAP,OTHERRESERVESTT,RETAINEARN,AR_NETPROFITSALES,AR_RETINVESTMENT,AR_RETSHAREFUNDS,AR_TASSETSTO,AR_CURRWCAP,AR_PROPRATIO,AR_TOTALDEBT
P99 HOLDINGS LIMITED,200311696K,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"28,783,000.00","132,000.00","28,651,000.00","32,280,000.00","32,280,000.00",0.00,"-3,497,000.00",2.00,"67,781,000.00","-1,719,000.00","-69,559,000.00",0.00,0.00,0.00,,0.00,-12.15,112.15
CHINA TAISAN TECHNOLOGY GROUP HOLDINGS LIMITED,200711863D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"373,725,000.00","292,705,000.00","81,020,000.00","1,775,000.00","1,775,000.00",0.00,"371,950,000.00",1.00,"337,799,000.00",0.00,"34,151,000.00",0.00,0.00,0.00,,164.90,99.53,0.47
CNA GROUP LTD.,199000449K,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"94,386,000.00","46,848,000.00","47,538,000.00","38,195,000.00","37,501,000.00","694,000.00","56,191,000.00",0.00,"54,413,000.00","-132,000.00","1,910,000.00",0.00,0.00,0.00,,1.25,59.53,40.47
COLEX HOLDINGS LIMITED,197101485G,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"19,264,737.00","9,026,050.00","10,238,687.00","3,415,271.00","2,793,171.00","622,100.00","15,849,466.00",0.00,"14,523,504.00",0.00,"1,325,962.00",0.00,0.00,0.00,,3.23,82.27,17.73
CSC HOLDINGS LIMITED,199707845E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"100,271,724.00","42,912,169.00","57,359,555.00","12,416,641.00","7,333,142.00","5,083,499.00","87,855,083.00",0.00,"64,378,246.00","21,216,752.00","2,260,085.00",0.00,0.00,0.00,,5.85,87.62,12.38
DRAGON GROUP INTERNATIONAL LIMITED,199306761C,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"45,543,000.00","5,595,000.00","39,948,000.00","16,928,000.00","16,928,000.00",0.00,"28,615,000.00",0.00,"54,928,000.00",0.00,"-26,313,000.00",0.00,0.00,0.00,,0.33,62.83,37.17
ELITE KSB HOLDINGS LIMITED,200100824G,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"13,966,000.00","3,147,000.00","10,819,000.00","875,000.00","875,000.00",0.00,"13,091,000.00",0.00,"9,055,000.00",0.00,"4,036,000.00",0.00,0.00,0.00,,3.60,93.73,6.27
EU YAN SANG INTERNATIONAL LTD,199302179H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"88,968,000.00","11,648,000.00","77,320,000.00","29,390,000.00","29,316,000.00","74,000.00","59,578,000.00",0.00,"35,487,000.00","767,000.00","23,324,000.00",0.00,0.00,0.00,,0.40,66.97,33.03
ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,200411055E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"833,000.00","816,000.00","17,000.00","30,120,000.00","13,854,000.00","16,266,000.00","-29,287,000.00",3.00,"73,681,000.00","529,000.00","-103,497,000.00",0.00,0.00,0.00,,0.06,"-3,515.85","3,615.85"
CCFH LTD.,198200473E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"23,186,000.00","4,985,000.00","18,201,000.00","10,818,000.00","9,392,000.00","1,426,000.00","12,368,000.00",0.00,"65,075,000.00","60,000.00","-52,767,000.00",0.00,0.00,0.00,,0.53,53.34,46.66
ICP LTD.,196200234E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"6,281,000.00","2,381,000.00","3,900,000.00","718,000.00","718,000.00",0.00,"5,563,000.00",0.00,"54,233,000.00",0.00,"-48,670,000.00",0.00,0.00,0.00,,3.32,88.57,11.43
GOODLAND GROUP LIMITED,200405522N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"4,579,608.00","2,763,528.00","1,816,080.00","3,733,992.00","3,733,992.00",0.00,"845,616.00",4.00,"916,080.00","-70,464.00",0.00,0.00,0.00,0.00,,0.74,18.46,81.54
GUTHRIE GTS LIMITED,196800390N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"669,679,000.00","175,272,000.00","494,407,000.00","231,660,000.00","65,160,000.00","166,500,000.00","438,019,000.00",0.00,"244,405,000.00","134,150,000.00","59,464,000.00",0.00,0.00,0.00,,2.69,65.41,34.59
HAFARY HOLDINGS LIMITED,200918637C,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"16,608,000.00","7,368,000.00","9,240,000.00","215,000.00","215,000.00",0.00,"16,393,000.00",0.00,"14,508,000.00","1,009,000.00","876,000.00",0.00,0.00,0.00,,34.27,98.71,1.29
HERSING CORPORATION PTE. LTD.,199706986E,Consolidated,LIMITED PRIVATE COMPANY,2010,,,,,,"61,816,211.00","22,685,442.00","39,130,769.00","467,726.00","383,158.00","84,568.00","61,348,485.00",0.00,"37,166,513.00","412,894.00","26,215,660.00",0.00,0.00,0.00,,59.21,99.24,0.76
HOCK LIAN SENG HOLDINGS LIMITED,200908903E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"70,694,000.00","35,880,000.00","34,814,000.00","626,000.00","626,000.00",0.00,"70,068,000.00",0.00,"58,956,000.00",0.00,"11,112,000.00",0.00,0.00,0.00,,57.32,99.11,0.89
HOE LEONG CORPORATION LTD.,199408433W,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"82,362,000.00","60,486,000.00","21,876,000.00","25,315,000.00","25,193,000.00","122,000.00","57,047,000.00",0.00,"53,897,000.00",0.00,"3,150,000.00",0.00,0.00,0.00,,2.40,69.26,30.74
