"","ID","degree"
"377",1365,3469
"378",1371,3469
"379",1374,3469
"380",1375,3469
"381",1376,3469
"382",1377,3469
"383",1378,3469
"384",1379,3469
"385",1380,3469
"386",1392,3469
"387",1395,3469
"388",1397,3469
"389",1398,3469
"390",1400,3469
"391",1401,3469
"392",1402,3469
"393",1404,3469
"394",1405,3469
"395",1406,3469
"396",1407,3469
"397",1409,3469
"398",1410,3469
"399",1411,3469
"400",1412,3469
"401",1414,3469
"402",1417,3469
"403",1418,3469
"404",1421,3469
"405",1422,3469
"406",1423,3469
"407",1425,3469
"408",1428,3469
"409",1429,3469
"410",1430,3469
"411",1433,3469
"412",1437,3469
"413",1439,3469
"414",1442,3469
"415",1444,3469
"416",1446,3469
"417",1448,3469
"418",1449,3469
"419",1450,3469
"420",1453,3469
"421",1454,3469
"422",1455,3469
"423",1457,3469
"424",1458,3469
"425",1460,3469
"426",1463,3469
"427",1464,3469
"428",1466,3469
"429",1467,3469
"430",1468,3469
"431",1469,3469
"432",1470,3469
"433",1471,3469
"434",1473,3469
"435",1475,3469
"436",1486,3469
"437",1487,3469
"438",1489,3469
"439",1493,3469
"440",1496,3469
"441",1500,3469
"442",1504,3469
"443",1509,3469
"444",1510,3469
"445",1511,3469
"446",1512,3469
"447",1514,3469
"448",1516,3469
"449",1517,3469
"450",1518,3469
"451",1521,3469
"452",1522,3469
"453",1523,3469
"454",1524,3469
"455",1525,3469
"456",1531,3469
"457",1532,3469
"458",1533,3469
"459",1534,3469
"460",1537,3469
"461",1538,3469
"462",1541,3469
"463",1542,3469
"464",1545,3469
"465",1546,3469
"466",1547,3469
"467",1550,3469
"468",1551,3469
"469",1552,3469
"470",1553,3469
"471",1554,3469
"472",1555,3469
"473",1557,3469
"474",1558,3469
"475",1559,3469
"476",1562,3469
"477",1563,3469
"478",1564,3469
"479",1566,3469
"480",1569,3469
"481",1570,3469
"482",1573,3469
"483",1576,3469
"484",1579,3469
"485",1583,3469
"486",1584,3469
"487",1585,3469
"488",1587,3469
"489",1588,3469
"490",1589,3469
"491",1590,3469
"492",1591,3469
"493",1592,3469
"494",1593,3469
"495",1595,3469
"496",1598,3469
"497",1601,3469
"498",1602,3469
"499",1603,3469
"500",1606,3469
"501",1607,3469
"502",1612,3469
"503",1613,3469
"504",1615,3469
"505",1616,3469
"506",1617,3469
"507",1619,3469
"508",1621,3469
"509",1623,3469
"510",1624,3469
"511",1625,3469
"512",1626,3469
"513",1627,3469
"514",1629,3469
"515",1630,3469
"516",1631,3469
"517",1633,3469
"518",1634,3469
"519",1635,3469
"520",1636,3469
"521",1638,3469
"522",1639,3469
"523",1640,3469
"524",1641,3469
"525",1642,3469
"526",1644,3469
"527",1645,3469
"528",1646,3469
"529",1648,3469
"530",1657,3469
"531",1658,3469
"532",1659,3469
"533",1662,3469
"534",1665,3469
"535",1673,3469
"536",1678,3469
"537",1680,3469
"538",1684,3469
"539",1686,3469
"540",1687,3469
"541",1688,3469
"542",1690,3469
"543",1691,3469
"544",1692,3469
"545",1694,3469
"546",1695,3469
"547",1699,3469
"548",1700,3469
"549",1701,3469
"550",1702,3469
"551",1708,3469
"552",1709,3469
"553",1710,3469
"554",1713,3469
"555",1714,3469
"556",1716,3469
"557",1717,3469
"558",1721,3469
"559",1723,3469
"560",1725,3469
"561",1726,3469
"562",1728,3469
"563",1729,3469
"564",1730,3469
"565",1731,3469
"566",1732,3469
"567",1733,3469
"568",1741,3469
"569",1743,3469
"570",1745,3469
"571",1746,3469
"572",1747,3469
"573",1749,3469
"574",1750,3469
"575",1751,3469
"576",1752,3469
"577",1753,3469
"578",1754,3469
"579",1755,3469
"580",1756,3469
"581",1758,3469
"582",1760,3469
"583",1761,3469
"584",1762,3469
"585",1764,3469
"586",1765,3469
"587",1766,3469
"588",1767,3469
"589",1768,3469
"590",1769,3469
"591",1770,3469
"592",1772,3469
"593",1773,3469
"594",1775,3469
"595",1776,3469
